"code";"SV";"DE";"pos"
"1";"DEMONTERINGSOBJEKT (endast delförsäljning)";"Wagen demontieren";""
"2";"BILD";"Bild";""
"1001";"SKÄRM FRAM VÄ";"Kotflügel";"Links"
"1002";"SKÄRM FRAM HÖ";"Kotflügel";"Recht"
"1003";"SKÄRM INNER";"Innerer Kotflügel";""
"1004";"FRONTKORG";"Frontkorg";""
"1005";"FRONTPLÅT";"Frontblech";""
"1006";"KYLFLÄKTKÅPA";"Kylfläktkåpa";""
"1007";"FRONT HUVLÅSPLÅT/BALK";"Haube Schliesblech / Balken";""
"1008";"SPOILER FRAM";"Spoiler";""
"1009";"LIST/LISTER ÖVRIGT";"Lister Övrigt";""
"1010";"GRILL/GALLER";"Grill / Gitter";""
"1011";"GRILLDEL VÄ";"Grillteil Dreigeteilt";"Links"
"1012";"GRILLDEL HÖ";"Grillteil Dreigeteilt";"Recht"
"1013";"EMBLEM";"Markenzeichen";""
"1014";"GRILLSARG";"Grillrahmen";""
"1015";"GRILL KOMPL.";"Grill Komplett";""
"1016";"EXTRALJUS FÄSTE/HÅLLARE";"Extraljus fäste/hållare";""
"1017";"FRONTPLÅT ÖVRE";"Frontblech";"Oben"
"1018";"FRONTPLÅT UNDRE";"Frontblech";"Below"
"1019";"GRILLDEL MITT";"Grillteil Dreigeteilt";"Mitte"
"1020";"STRÅLKASTARE";"Scheinwerfer";"Links Recht"
"1021";"STRÅLKASTARE VÄ";"Scheinwerfer";"Links"
"1022";"STRÅLKASTARE HÖ";"Scheinwerfer";"Recht"
"1023";"STRÅLKASTARSARG VÄ";"Scheinwerferrahmen";"Links"
"1024";"STRÅLKASTARSARG HÖ";"Scheinwerferrahmen";"Recht"
"1025";"EXTRALJUS";"Extra Vernlicht";""
"1026";"STRÅLKASTARGLAS VÄ";"Scheinwerferglas";"Links"
"1027";"STRÅLKASTARGLAS HÖ";"Scheinwerferglas";"Recht"
"1028";"BLINKERS SIDOBLINKERS HÖ";"Blinker Seiten";"Recht"
"1029";"BLINKERS SIDOBLINKERS VÄ";"Blinker Seiten";"Links"
"1030";"DIMLJUS/VARSELLJUS FRAM";"Nebellicht/Varselljus";""
"1031";"BLINKERS FRAM VÄ";"Blinker Vorne";"Links"
"1032";"BLINKERS FRAM HÖ";"Blinker Vorne";"Recht"
"1033";"BLINKERSGLAS FRAM VÄ";"Blinkerglas Vorne";"Links"
"1034";"BLINKERSGLAS FRAM HÖ";"Blinkerglas Vorne";"Recht"
"1035";"BLINK.INSATS/LAMPH.FR.VÄ.";"Blinkereinsatz/Lampenhalter";"Links"
"1036";"BLINK.INSATS/LAMPH.FR.HÖ.";"Blinkereinsatz/Lampenhalter";"Recht"
"1037";"POSITIONSLJUS FRAM VÄ";"Positionslicht";"Links"
"1038";"POSITIONSLJUS FRAM HÖ";"Positionslicht";"Recht"
"1039";"STRÅLKAST.AUT.JUST.MOTOR";"Aut. justermotor - Strålkastare";""
"1040";"STRÅLKASTARTORK.MOTOR";"Scheinwerferwishermotor";"Links Recht"
"1041";"STRÅLKASTARTORK.MOTOR VÄ";"Scheinwerferwishermotor";"Links"
"1042";"STRÅLKASTARTORK.MOTOR HÖ";"Scheinwerferwishermotor";"Recht"
"1043";"STRÅLKASTARTORKARARM";"Scheinwerfer Wischerarm";""
"1044";"SPOLARMUNSTYCKE STRÅLKASTARE";"Scheinwerfer Spüler/Wisher kompl.";""
"1045";"SPOLARPUMP HÖGTRYCK/STRÅLKASTARE";"Spülungspumpe/Hochdruck/Scheinwerfer";""
"1046";"TORKARBLAD STRÅLKASTARE";"Scheinwerfer Wischer";""
"1047";"SPOLARTANK STRÅLKASTARE";"Spülungsbehälter Strålkastare";""
"1048";"SPOLARTANK VINDRUTA";"Spülungsbehälter Windschutzscheibe";""
"1049";"SPOLARMUNSTYCKE RUTOR";"Spülungsdüse";""
"1050";"STÖTFÅNGARE FRAM";"Stoßstange";""
"1051";"STÖTFÅNGARDEL FRAM VÄ";"Stoßstange Dreigeteilt";"Links"
"1052";"STÖTFÅNGARDEL FRAM HÖ";"Stoßstange Dreigeteilt";"Recht"
"1053";"STÖTFÅNGARDEL FRAM MITT";"Stoßstange Dreigeteilt";"Mitte"
"1054";"STÖTFÅNGARBÄRJÄRN FRAM";"Stoßstange befestigungseisen";""
"1055";"FRONTSKYDD/VILTBÅGE";"Frontskydd/Viltbåge";""
