"code";"text";"pt3";"pos"
"1";"DEMONTERINGSOBJEKT (endast delförsäljning)";"Car for dismantling";""
"2";"BILD";"Illustration";""
"1001";"SKÄRM FRAM VÄ";"Front fender";"Left"
"1002";"SKÄRM FRAM HÖ";"Front fender";"Right"
"1003";"SKÄRM INNER";"Inner shield";""
"1004";"FRONTKORG";"Front basket";""
"1005";"FRONTPLÅT";"Front plate";""
"1006";"KYLFLÄKTKÅPA";"Cooling fan covering";""
"1007";"FRONT HUVLÅSPLÅT/BALK";"Bonnet lock plate / Beam";""
"1008";"SPOILER FRAM";"Spoiler";""
"1009";"LIST/LISTER ÖVRIGT";"Strips Other ";""
"1010";"GRILL/GALLER";"Grill / Bars";""
"1011";"GRILLDEL VÄ";"Three part Grill part";"Left"
"1012";"GRILLDEL HÖ";"Three part Grill part";"Right"
"1013";"EMBLEM";"Emblem";""
"1014";"GRILLSARG";"Grill brace";""
"1015";"GRILL KOMPL.";"Grill Complete";""
"1016";"EXTRALJUS FÄSTE/HÅLLARE";"Driving light brackets";""
"1017";"FRONTPLÅT ÖVRE";"Front plate";"Upper"
"1018";"FRONTPLÅT UNDRE";"Front plate";"Below"
"1019";"GRILLDEL MITT";"Three part Grill part";"Middle"
"1020";"STRÅLKASTARE";"Head light";"Left Right"
"1021";"STRÅLKASTARE VÄ";"Head light";"Left"
"1022";"STRÅLKASTARE HÖ";"Head light";"Right"
"1023";"STRÅLKASTARSARG VÄ";"Head light brace";"Left"
"1024";"STRÅLKASTARSARG HÖ";"Head light brace";"Right"
"1025";"EXTRALJUS";"Driving lights";""
"1026";"STRÅLKASTARGLAS VÄ";"Head light glass";"Left"
"1027";"STRÅLKASTARGLAS HÖ";"Head light glass";"Right"
"1028";"BLINKERS SIDOBLINKERS HÖ";"Indicators Side indicators";"Right"
"1029";"BLINKERS SIDOBLINKERS VÄ";"Indicators Side indicators";"Left"
"1030";"DIMLJUS/VARSELLJUS FRAM";"Fog lamps / Hazard lights";""
"1031";"BLINKERS FRAM VÄ";"Indicators Front";"Left"
"1032";"BLINKERS FRAM HÖ";"Indicators Front";"Right"
"1033";"BLINKERSGLAS FRAM VÄ";"Indicators glass Front";"Left"
"1034";"BLINKERSGLAS FRAM HÖ";"Indicators glass Front";"Right"
"1035";"BLINK.INSATS/LAMPH.FR.VÄ.";"Indicator cases / Lamp cases";"Left"
"1036";"BLINK.INSATS/LAMPH.FR.HÖ.";"Indicator cases / Lamp cases";"Right"
"1037";"POSITIONSLJUS FRAM VÄ";"Position lights";"Left"
"1038";"POSITIONSLJUS FRAM HÖ";"Position lights";"Right"
"1039";"STRÅLKAST.AUT.JUST.MOTOR";"Aut. Adjusting motor - Head ligh ";""
"1040";"STRÅLKASTARTORK.MOTOR";"Head light wiper motor";"Left Right"
"1041";"STRÅLKASTARTORK.MOTOR VÄ";"Head light wiper motor";"Left"
"1042";"STRÅLKASTARTORK.MOTOR HÖ";"Head light wiper motor";"Right"
"1043";"STRÅLKASTARTORKARARM";"Head light wiper arm";""
"1044";"SPOLARMUNSTYCKE STRÅLKASTARE";"Head light washer / wipers compl.";""
"1045";"SPOLARPUMP HÖGTRYCK/STRÅLKASTARE";"Washer pump / High pressure / Head light";""
"1046";"TORKARBLAD STRÅLKASTARE";"Head light wiper blade";""
"1047";"SPOLARTANK STRÅLKASTARE";"Washer tank Head light";""
"1048";"SPOLARTANK VINDRUTA";"Washer tank Windshield";""
"1049";"SPOLARMUNSTYCKE RUTOR";"Washer Nozzle";""
"1050";"STÖTFÅNGARE FRAM";"Bumper";""
"1051";"STÖTFÅNGARDEL FRAM VÄ";"Three part Bumper ";"Left"
"1052";"STÖTFÅNGARDEL FRAM HÖ";"Three part Bumper ";"Right"
"1053";"STÖTFÅNGARDEL FRAM MITT";"Three part Bumper ";"Middle"
"1054";"STÖTFÅNGARBÄRJÄRN FRAM";"Bumper carrying bar";""
"1055";"FRONTSKYDD/VILTBÅGE";"Wild bars";""
"1056";"STÖTFÅNGARLIST FRAM";"Bumper Strip";"Front"
"1057";"STÖTFÅNGARBALK FRAM";"Bumper beam";""
"1058";"STÖTFÅNGARDÄMPARE FRAM";"Bumper dampers";""
"1059";"STÖTFÅNGAR DEFORM.ELEMENT FRAM";"Bumper reinforcement front";""
"1060";"STÖTFÅNGARBEKLÄDNAD FRAM";"Bumper covering";""
"1061";"STÖTFÅNGARHORN FRAM VÄ";"Bumper horn ";"Left"
"1062";"STÖTFÅNGARHORN FRAM HÖ";"Bumper horn ";"Right"
"1063";"HUV STAG/PINNE";"Bonnet strut";""
"1064";"HUVSPÄRR";"Bonnet bar";""
"1065";"HASPLÅT PLÅT/PLAST";"Skid plate (Plate/ Plastic)";""
"1066";"HUVLÅS";"Bonnet lock";""
"1067";"HJULHUS VÄ";"Wheel housing";"Left"
"1068";"HJULHUS HÖ";"Wheel housing";"Right"
"1069";"HUVLÅS VAJER/SPAK";"Bonnet wire";""
"1070";"HUV FRAM";"Bonnet";""
"1071";"HUVGÅNGJÄRN";"Bonnet hinge";""
"1072";"GASFJÄDER MOTORHUV";"Bonnet gas dampers";""
"1073";"SPOLARTANK VINDRUTA/STRÅL";"Washer tank Windshield / High beam";""
"1074";"TORPEDPLÅT/TORPEDPLAST";"Cowl plate";""
"1075";"NIVÅGIVARE SPOLARTANK";"Washer tank level monitor";""
"1076";"STRÅLKASTAR.HUS";"Head light case";"Left Right"
"1077";"STRÅLKASTARHUS VÄ";"Head light case";"Left"
"1078";"STRÅLKASTARHUS HÖ";"Head light case";"Right"
"1079";"BLINKERSSARG VÄ";"Indicators frame";"Left"
"1080";"BLINKERSSARG HÖ";"Indicators frame";"Right"
"1081";"STRÅLKASTHUS ÖPPNINGSB.VÄ";"Head light case openable";"Left"
"1082";"STRÅLKASTHUS ÖPPNINGSB.HÖ";"Head light case openable";"Right"
"1083";"STRÅLKASTARREFLEKTOR VÄ";"Head light reflector";"Left"
"1084";"STRÅLKASTARREFLEKTOR HÖ";"Head light reflector";"Right"
"1085";"SPOLARTANK PÅFYLLNINGSRÖR";"Spolartank Påfyllningsrör";""
"1086";"STRÅLKASTARMOTOR HUSÖPPNARE";"Case opener motor - Head light";"Left Right"
"1087";"STRÅLKASTARMOTOR HUSÖPPNARE VÄ";"Case opener motor - Head light";"Left"
"1088";"STRÅLKASTARMOTOR HUSÖPPNARE HÖ";"Case opener motor - Head light";"Right"
"1089";"ROTORLJUS";"Rotorljus";""
"1090";"STRÅLKAST. FÄSTSARG";"Head light fixed brace";""
"1091";"DIMLJUSSARG FRAM";"Dimljussarg fram";""
"1093";"STRÅLKASTARGLÖDLAMPA XENON";"Head light bulb Xenon";""
"1094";"HÖGTALARE MOTORLJUD EL-BIL";"Högtalare Motorljud El-Bil";""
"1095";"FRONTPARTI";"Front part";""
"1096";"FRONTPARTI MED TAK";"Front part with roof";""
"1097";"STÖTFÅNGARFÄSTE FRAM VÄ";"Stötfångarfäste Fram";"Left"
"1098";"STÖTFÅNGARFÄSTE FRAM HÖ";"Stötfångarfäste Fram";"Right"
"1099";"FRONT ÖVRIGT";"Other front";""
"1100";"LIST FRAM/HUV/FRONT";"Strip Front / Main / Front";""
"1101";"LIST VÄ";"Strip";"Left"
"1102";"LIST HÖ";"Strip";"Right"
"1103";"LIST BAK/BAKLUCKA";"Strip Rear / Rear hatch";""
"1104";"STYRLIST RUTA";"Styrlist Ruta";""
"1105";"LIST FRAMSKÄRM VÄ";"Decorative strip front fender";"Left"
"1106";"LIST FRAMSKÄRM HÖ";"Decorative strip front fender";"Right"
"1107";"DÖRR DEKORLIST FRAM VÄ";"Dekorlist Dörr Fram";"Front Left"
"1108";"DÖRR DEKORLIST FRAM HÖ";"Dekorlist Dörr Fram";"Front Right"
"1109";"DÖRR DEKORLIST BAK VÄ";"Dekorlist Dörr Fram";"Rear Left"
"1110";"DÖRR DEKORLIST BAK HÖ";"Dekorlist Dörr Fram";"Rear Right"
"1111";"SKÄRMFÄSTE FRAM VÄ";"Skärmfäste Fram";"Left"
"1112";"SKÄRMFÄSTE FRAM HÖ";"Skärmfäste Fram";"Right"
"1120";"DEFLEKTOR/LUFTINTAG PLÅT/PLAST";"Luftstyrning front";""
"1130";"TÄCKPLAST FRONT";"Plastic sheeting front";""
"1201";"RP TRÖSKEL YTTRE VÄ";"RP Threshold";"Outer Left"
"1202";"RP TRÖSKEL YTTRE HÖ";"RP Threshold";"Outer Right"
"1203";"RP TRÖSKEL INRE VÄ";"RP Threshold";"Internal Left"
"1204";"RP TRÖSKEL INRE HÖ";"RP Threshold";"Internal Right"
"1211";"RP DÖRR 2DRS VÄ";"RP Door  2D";"Left"
"1212";"RP DÖRR 2DRS HÖ";"RP Door  2D";"Right"
"1213";"RP DÖRR FRAM VÄ";"RP Door ";"Front Left"
"1214";"RP DÖRR FRAM HÖ";"RP Door ";"Front Right"
"1215";"RP DÖRR BAK VÄ";"RP Door ";"Rear Left"
"1216";"RP DÖRR BAK HÖ";"RP Door ";"Rear Right"
"1231";"RP FRAMSKÄRMSFÄSTE VÄ";"RP Front fender Bracket";"Left"
"1232";"RP FRAMSKÄRMSFÄSTE HÖ";"RP Front fender Bracket";"Right"
"1241";"RP SKÄRMKANT BAK 2D VÄ";"RP Fender edge 2D";"Rear Left"
"1242";"RP SKÄRMKANT BAK 2D HÖ";"RP Fender edge 2D";"Rear Right"
"1243";"RP SKÄRMKANT BAK INRE VÄ";"RP Fender edge";"Rear Internal Left"
"1244";"RP SKÄRMKANT BAK INRE HÖ";"RP Fender edge";"Rear Internal Right"
"1245";"RP SKÄRMKANT BAK 4D VÄ";"RP Fender edge 4D";"Rear Left"
"1246";"RP SKÄRMKANT BAK 4D HÖ";"RP Fender edge 4D";"Rear Right"
"1251";"RP SIDOPLÅT FR. BAKHJ.VÄ";"RP Side plate Rear Wheel";"Front Left"
"1252";"RP SIDOPLÅT FR. BAKHJ.HÖ";"RP Side plate Rear Wheel";"Front Right"
"1253";"RP SIDOPLÅT BA. BAKHJ.VÄ";"RP Side plate Rear Wheel";"Rear Left"
"1254";"RP SIDOPLÅT BA. BAKHJ.HÖ";"RP Side plate Rear Wheel";"Rear Right"
"1261";"RP RESERVHJULSBALJA VÄ";"RP Spare Tire Well";"Left"
"1262";"RP RESERVHJULSBALJA HÖ";"RP Spare Tire Well";"Right"
"1263";"RP DÖRRSPEGEL 2D VÄ";"RP Door Mirror 2D";"Left"
"1264";"RP DÖRRSPEGEL 2D HÖ";"RP Door Mirror 2D";"Right"
"1265";"RP DÖRRSPEGEL 4D FRAM VÄ";"RP Door Mirror 4D";"Front Left"
"1266";"RP DÖRRSPEGEL 4D FRAM HÖ";"RP Door Mirror 4D";"Front Right"
"1267";"RP DÖRRSPEGEL 4D BAK VÄ";"RP Door Mirror 4D";"Rear Left"
"1268";"RP DÖRRSPEGEL 4D BAK HÖ";"RP Door Mirror 4D";"Rear Right"
"1299";"RP ÖVRIGT";"RP Övrigt";""
"1710";"FÄRDSKRIVARE";"Färdskrivare";""
"2000";"LUFTFILTER";"Air filter";""
"2001";"BRÄNSLEFILTER";"Fuel filter";""
"2002";"OLJEFILTER";"Oil filter";""
"2003";"OLJA MOTOR";"Engine Oil";""
"2004";"OLJA VÄXELLÅDA MAN";"Oil Gear Box manual";""
"2005";"OLJA AUTOMAT";"Oil Automat";""
"2006";"BROMSVÄTSKA";"Brake oil";""
"2007";"OLJA FÖRGASARE";"Carburators Oil";""
"2008";"OLJA BAKAXEL";"Oil Rear axel";""
"2009";"OLJA VINKELVÄXEL/FÖRDELNINGSLÅDA";"Oil distribution box";""
"2010";"OLJA STYRSERVO";"Oil Power steering";""
"2011";"SPOLARTANK LOCK";"Spolartank Lock";""
"2012";"KYLVÄTSKEFILTER";"Kylvätskefilter";""
"2014";"AVFETTNINGSMEDEL";"Grease remover";""
"2015";"FROSTSKYDD";"Antifrost";""
"2016";"KYLARVÄTSKA";"Coolant";""
"2017";"GLYKOL";"Anti-Freeze";""
"2018";"SPOLARVÄTSKA";"Washer fluid";""
"2019";"MONTERINGSSATS";"Mounting kit";""
"2020";"URTRAMPNINGSLAGER";"Clutch collar bearing";""
"2021";"SVÄNGHJULSLAGER";"Flywheels bearing";""
"2022";"HJULLAGER/SATS";"Wheel bearing";""
"2023";"KAMAXEL POSITIONSGIVARE";"Kamaxel Positionsgivare";""
"2024";"KAMAXELDRIVNING KUGGDREV AVGAS";"Kamaxeldrivning Kuggdrev Avgas";""
"2025";"KAMAXELDRIVNING KUGGDREV INSUG";"Kamaxeldrivning Kuggdrev Insug";""
"2026";"KAMAXELDRIVNING KUGGDREV VEVAXEL";"Kamaxeldrivning Kuggdrev Vevaxel";""
"2027";"KAMAXELDRIVNING KUGGDREV ÖVRIGA";"Kamaxeldrivning Kuggdrev Övriga";""
"2028";"KAMAXEL VVT ENHET (VANOS)";"Kamaxel VVT-Enhet (Vanos)";""
"2029";"KAMDREVSATS";"Cam gear kit";""
"2030";"KAMAXELREM";"Cam axle belt";""
"2031";"KAMAXELKEDJA";"Cam axle chain";""
"2039";"KNUTKORS";"U-Joint";""
"2040";"BROMSBELÄGG FRAM";"Brake linings";"Front"
"2041";"BROMSBELÄGG BAK";"Brake linings";"Rear"
"2050";"AVGAS BAKRE DÄMPARE";"Exhaust rear muffler";"Rear"
"2051";"AVGAS MELLANDÄMPARE";"Exhaust Middle muffler";""
"2052";"AVGAS FRÄMRE RÖR";"Exhaust pipe";"Front"
"2053";"AVGAS MONTERINGSDETALJER";"Exhaust Mounting det.";""
"2054";"AVGAS MELLANRÖR";"Exhaust Middle pipe";""
"2055";"AVGAS ÄNDRÖR";"Exhaust End pipe";""
"2060";"PACKNINGSSATS";"Package kit";""
"2061";"SOTNINGSSATS";"Gasket kit";""
"2064";"PACKNING AVGASGRENRÖR";"inlet";""
"2065";"PACKNING INSUGNINGSRÖR";"inlet pipe package";""
"2066";"PACKNING AVGASRÖR";"Exhaust pipe packaging";""
"2067";"PACKNING VENTILKÅPA";" valve cap packaging";""
"2069";"PACKNING OLJETRÅG";"Sump package";""
"2070";"KOLVRINGSATS";"Piston ring kit";""
"2071";"PACKBOX";"Package box";""
"2072";"AVGASVENTIL";"Exhaust valve";""
"2073";"INSUGSVENTIL";"Inlet valve";""
"2074";"RAMLAGER";"Frame bearing";""
"2075";"VEVSTAKSLAGER";"Big end bearing";""
"2076";"VENTILSTYRNING/AR";" valve controller/s";""
"2077";"VENTILTÄTNINGAR";" valve seal";""
"2078";"KOLVAR";"Pistons";""
"2079";"TÄNDSTIFT";"Spark plug";""
"2080";"KAMSTÄLLNINGSVENTIL";"Camshaft adjusting valve";""
"2081";"AGGREGATREM/FLÄKTREM";"Fan Belt";""
"2082";"PACKNING OLJELOCK/OLJERÖR/OLJEPLUGG";"Gasket Oil Caps/Line/Plug";""
"2083";"PACKNING TOPPLOCK";"Gasket Cylinder head";""
"2084";"PACKNING SPJÄLLHUS";"Gasket Throttle Body";""
"2085";"PACKNING VATTENPUMP";"Gasket Water pump";""
"2086";"PACKNING VÄXELLÅDA";"Gasket Gear box";""
"2087";"PACKNING BAKAXEL";"Gasket Rear axel";""
"2088";"PACKNING FÖRGASARE";"Gasket Carburator";""
"2101";"BILVAX";"Car wax";""
"2105";"BILSCHAMPO";"Car shampoo";""
"2110";"SKYDDSHANDSKAR";"Protective gloves";""
"2115";"BATTERILADDARE";"Battery chargers";""
"2116";"VARNINGSTRIANGEL";"Warning triangle";""
